120003785: cottiest[8391162034321125219], gnomonical
250431583: syllabaries, transcendentalists
471756316: goodhumoredness, tetanuses
543281531: Chelidonium, Navada[107083759771982] -> cycle = 8391054950561353237 
623998519: Omdurman[7953758755276221775], congressed
1209637511: Floreal[30506385824246854], woman-conquered
1328592163: Sadler[125779935781203], digresses
1710495351: Bernete[28556951641285954], subdorsal
1972484655: bowermaiden, snobbishnesses
1988590439: long-established, unplastic
2061948803: Kendyl[119268631799115], doodad[110369459629924] -> cycle = 8899172169191 
2412720415: being[444234032482], profanity-proof
2621587706: goodhap[31632298381111143], snugly[133506499178099] -> cycle = 31498791881933044 
2691629229: Cliffwood, copulas[32476740776390499] -> cycle = 32343234277212400 
2701859313: Shaper[125780002695251], lowlihead
2702495584: catawamptious, surviver[8243124888302417267] -> cycle = 8242999108299722016 
2706306094: anthropolith, rodsman[31069370153463666] -> cycle = 8212055518148953601 
2767530841: Suttner[32199672419611987], ovate-triangular
3093983157: anthropophagic, parentage
3446055796: mastermind, oxychloric
3491916420: epimorphic, supersimplify
3772779616: alogism[30807669005577313], limpiness
3849136563: disentrammel, interdependence
4027219958: Millbury[8751186091520584013], chemoprophylactic
4056646179: Neopit[127996206736718], bidirectional

Cycles collisions:
8899172169191: 1, 31498791881933044: 1, 32343234277212400: 1, 8212055518148953601: 1, 8242999108299722016: 1, 8391054950561353237: 1
